state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
AK,76.0,415.0,366-9781,no,yes,22.0,160.1,107.0,27.22,168.7,136.0,14.34,23.2,102.0,1.04,9.5,4.0,2.57,3.0,False
NC,30.0,510.0,404-5427,no,no,0.0,145.0,76.0,24.65,240.7,112.0,20.46,197.1,134.0,8.87,7.1,4.0,1.92,3.0,False
AZ,157.0,415.0,389-9783,no,no,0.0,220.7,105.0,37.52,119.3,127.0,10.14,165.1,113.0,7.43,11.5,7.0,3.11,4.0,False
MA,40.0,408.0,351-7005,no,yes,31.0,224.7,69.0,38.2,134.5,81.0,11.43,120.3,104.0,5.41,7.5,5.0,2.03,1.0,True
TN,72.0,408.0,348-2009,no,no,0.0,147.0,79.0,24.99,162.3,103.0,13.8,162.9,80.0,7.33,10.5,4.0,2.84,1.0,False
WY,95.0,415.0,340-4236,no,yes,39.0,260.8,130.0,44.34,213.4,111.0,18.14,195.6,97.0,8.8,10.1,5.0,2.73,1.0,False
IA,42.0,415.0,348-1528,no,no,0.0,155.4,127.0,26.42,164.1,45.0,13.95,157.7,128.0,7.1,9.0,3.0,2.43,0.0,False
IN,86.0,415.0,365-5039,no,no,0.0,166.2,112.0,28.25,255.3,81.0,21.7,228.1,97.0,10.26,5.4,7.0,1.46,1.0,False
NJ,131.0,415.0,411-1810,no,no,0.0,211.8,115.0,36.01,260.5,102.0,22.14,144.2,96.0,6.49,10.8,7.0,2.92,0.0,False
FL,55.0,510.0,364-7644,no,yes,45.0,130.5,114.0,22.19,208.4,94.0,17.71,141.6,114.0,6.37,11.0,5.0,2.97,4.0,True
MT,74.0,415.0,335-9066,no,no,0.0,162.7,102.0,27.66,292.0,105.0,24.82,183.3,80.0,8.25,8.7,6.0,2.35,0.0,False
ND,81.0,408.0,362-7581,yes,yes,37.0,237.1,76.0,40.31,264.2,125.0,22.46,271.3,120.0,12.21,7.9,3.0,2.13,1.0,False
MI,81.0,408.0,346-1095,no,no,0.0,166.2,102.0,28.25,217.6,112.0,18.5,220.2,68.0,9.91,13.2,2.0,3.56,4.0,False
MT,28.0,415.0,357-9136,no,no,0.0,121.7,48.0,20.69,125.8,112.0,10.69,261.6,122.0,11.77,8.3,2.0,2.24,6.0,True
AL,111.0,510.0,390-7863,no,no,0.0,176.4,62.0,29.99,201.0,124.0,17.09,150.4,138.0,6.77,11.2,2.0,3.02,0.0,False
NV,3.0,510.0,344-2416,no,yes,27.0,67.4,116.0,11.46,244.0,78.0,20.74,281.1,93.0,12.65,11.4,2.0,3.08,2.0,False
MI,51.0,415.0,373-1448,no,no,0.0,229.7,129.0,39.05,336.0,104.0,28.56,192.8,128.0,8.68,9.6,1.0,2.59,1.0,True
FL,68.0,415.0,360-7076,no,yes,24.0,176.0,118.0,29.92,277.9,116.0,23.62,174.7,71.0,7.86,14.7,7.0,3.97,1.0,False
NY,163.0,408.0,413-2241,no,no,0.0,247.7,77.0,42.11,269.5,108.0,22.91,167.3,82.0,7.53,9.6,7.0,2.59,0.0,True
KS,87.0,510.0,343-3961,no,no,0.0,115.4,90.0,19.62,262.6,68.0,22.32,245.7,69.0,11.06,13.1,5.0,3.54,2.0,False
NC,58.0,510.0,375-4107,no,no,0.0,112.2,95.0,19.07,209.6,108.0,17.82,260.9,78.0,11.74,13.9,1.0,3.75,0.0,True
MN,109.0,408.0,414-7410,no,no,0.0,162.6,138.0,27.64,154.0,109.0,13.09,209.7,118.0,9.44,11.5,4.0,3.11,0.0,False
RI,111.0,415.0,351-2535,no,no,0.0,229.4,107.0,39.0,214.1,99.0,18.2,289.6,95.0,13.03,10.4,6.0,2.81,4.0,False
UT,144.0,415.0,416-9615,no,no,0.0,139.6,96.0,23.73,124.2,93.0,10.56,95.6,75.0,4.3,15.0,4.0,4.05,2.0,False
OR,135.0,415.0,377-1293,no,no,0.0,263.8,66.0,44.85,251.3,116.0,21.36,200.1,112.0,9.0,8.4,2.0,2.27,5.0,True
SC,109.0,415.0,388-6479,no,yes,46.0,217.5,123.0,36.98,233.7,84.0,19.86,163.9,99.0,7.38,9.0,3.0,2.43,4.0,False
IL,107.0,415.0,390-2755,no,yes,14.0,114.3,132.0,19.43,199.8,91.0,16.98,194.7,74.0,8.76,7.5,8.0,2.03,1.0,False
OH,149.0,408.0,340-5930,no,no,0.0,196.3,108.0,33.37,136.8,96.0,11.63,154.7,87.0,6.96,7.7,3.0,2.08,2.0,False
MA,56.0,510.0,401-3622,no,no,0.0,253.2,95.0,43.04,188.0,116.0,15.98,142.0,133.0,6.39,4.4,4.0,1.19,1.0,False
OR,129.0,408.0,382-1104,no,no,0.0,98.0,99.0,16.66,240.7,62.0,20.46,254.8,123.0,11.47,10.5,4.0,2.84,0.0,False
CA,92.0,408.0,355-9324,no,no,0.0,249.4,118.0,42.4,211.5,95.0,17.98,169.0,116.0,7.61,9.1,3.0,2.46,0.0,False
WV,67.0,415.0,393-4843,no,yes,30.0,129.6,107.0,22.03,233.0,104.0,19.81,297.0,93.0,13.37,14.5,5.0,3.92,1.0,False
VT,120.0,415.0,401-4052,no,no,0.0,221.3,106.0,37.62,267.6,98.0,22.75,111.5,80.0,5.02,9.3,7.0,2.51,0.0,False
ID,166.0,415.0,385-1830,no,no,0.0,220.7,106.0,37.52,177.8,118.0,15.11,206.1,102.0,9.27,12.4,9.0,3.35,1.0,False
OR,66.0,408.0,348-7409,no,no,0.0,87.6,76.0,14.89,262.0,111.0,22.27,184.6,125.0,8.31,9.2,5.0,2.48,1.0,False
GA,76.0,408.0,361-4910,no,no,0.0,203.6,61.0,34.61,161.7,127.0,13.74,175.9,97.0,7.92,8.4,3.0,2.27,0.0,False
ME,79.0,415.0,415-6578,no,no,0.0,213.6,110.0,36.31,234.9,121.0,19.97,229.6,157.0,10.33,8.8,3.0,2.38,2.0,False
HI,98.0,415.0,395-5015,no,yes,31.0,181.6,112.0,30.87,220.7,100.0,18.76,236.3,121.0,10.63,12.9,4.0,3.48,2.0,False
AZ,141.0,510.0,369-6012,no,yes,22.0,215.4,123.0,36.62,328.7,98.0,27.94,160.5,89.0,7.22,7.8,6.0,2.11,1.0,False
UT,49.0,415.0,394-4520,no,no,0.0,266.3,90.0,45.27,207.8,117.0,17.66,205.0,98.0,9.23,14.0,2.0,3.78,2.0,True
IA,46.0,510.0,380-5873,no,no,0.0,199.2,111.0,33.86,175.1,83.0,14.88,210.6,84.0,9.48,10.2,2.0,2.75,3.0,False
CT,137.0,415.0,372-5384,no,no,0.0,115.0,130.0,19.55,137.8,83.0,11.71,224.0,61.0,10.08,7.3,4.0,1.97,3.0,False
WA,171.0,408.0,419-1863,no,no,0.0,270.5,69.0,45.99,230.0,112.0,19.55,136.0,111.0,6.12,9.6,5.0,2.59,1.0,True
VA,10.0,415.0,352-5697,no,no,0.0,222.2,127.0,37.77,153.1,125.0,13.01,227.4,80.0,10.23,12.9,4.0,3.48,1.0,False
CO,88.0,510.0,373-4274,no,no,0.0,61.9,78.0,10.52,262.6,114.0,22.32,212.5,110.0,9.56,8.8,2.0,2.38,3.0,False
LA,89.0,415.0,382-4024,no,no,0.0,141.1,92.0,23.99,249.1,126.0,21.17,136.0,73.0,6.12,10.8,2.0,2.92,2.0,False
TX,82.0,415.0,395-9215,no,no,0.0,189.2,81.0,32.16,184.4,117.0,15.67,255.8,83.0,11.51,10.6,5.0,2.86,3.0,True
SD,139.0,510.0,331-9149,no,no,0.0,196.0,135.0,33.32,186.0,146.0,15.81,153.0,92.0,6.89,9.8,1.0,2.65,3.0,False
VA,87.0,415.0,347-3958,no,no,0.0,171.6,119.0,29.17,205.0,107.0,17.43,170.6,114.0,7.68,13.8,4.0,3.73,0.0,False
NY,137.0,415.0,389-2540,yes,no,0.0,174.0,123.0,29.58,161.3,115.0,13.71,260.7,98.0,11.73,11.4,3.0,3.08,2.0,False
WA,45.0,510.0,399-3083,no,no,0.0,78.6,106.0,13.36,187.3,110.0,15.92,184.2,111.0,8.29,7.4,5.0,2.0,1.0,True
WI,90.0,415.0,420-8308,no,no,0.0,200.9,92.0,34.15,164.3,91.0,13.97,249.0,98.0,11.21,8.9,7.0,2.4,1.0,False
TN,103.0,415.0,384-7724,no,no,0.0,141.3,123.0,24.02,253.6,87.0,21.56,215.8,96.0,9.71,6.4,2.0,1.73,1.0,False
CT,100.0,415.0,389-2114,no,no,0.0,235.8,130.0,40.09,176.0,69.0,14.96,63.6,122.0,2.86,7.3,1.0,1.97,2.0,False
WA,110.0,510.0,335-4414,no,no,0.0,185.1,100.0,31.47,165.1,88.0,14.03,111.6,104.0,5.02,6.3,4.0,1.7,3.0,False
NH,124.0,415.0,370-5361,no,no,0.0,254.3,113.0,43.23,78.9,104.0,6.71,153.2,69.0,6.89,11.8,2.0,3.19,2.0,False
MT,10.0,510.0,374-5965,no,no,0.0,183.0,103.0,31.11,214.8,77.0,18.26,206.4,73.0,9.29,8.7,6.0,2.35,2.0,False
NE,89.0,415.0,420-6414,no,yes,29.0,163.5,80.0,27.8,274.8,136.0,23.36,381.9,147.0,17.19,7.5,5.0,2.03,2.0,False
WA,121.0,408.0,392-2708,no,no,0.0,207.9,98.0,35.34,210.5,96.0,17.89,109.6,114.0,4.93,7.7,2.0,2.08,2.0,False
WI,101.0,415.0,352-7234,no,no,0.0,248.6,102.0,42.26,174.9,93.0,14.87,207.2,86.0,9.32,6.1,3.0,1.65,3.0,False
AR,103.0,415.0,337-9878,no,yes,31.0,185.4,105.0,31.52,197.6,126.0,16.8,147.1,110.0,6.62,14.5,4.0,3.92,2.0,False
WI,51.0,408.0,350-7288,no,no,0.0,197.8,60.0,33.63,221.0,64.0,18.79,168.6,134.0,7.59,8.9,5.0,2.4,1.0,False
DE,2.0,415.0,415-8448,yes,no,0.0,132.1,42.0,22.46,138.9,88.0,11.81,192.6,119.0,8.67,9.1,1.0,2.46,2.0,True
NH,111.0,510.0,392-6331,no,no,0.0,197.1,117.0,33.51,227.8,128.0,19.36,214.0,101.0,9.63,9.3,11.0,2.51,0.0,False
VA,118.0,415.0,392-3315,no,no,0.0,154.6,112.0,26.28,184.2,105.0,15.66,217.4,102.0,9.78,12.6,5.0,3.4,2.0,False
TN,17.0,510.0,382-5401,no,yes,31.0,153.1,115.0,26.03,185.9,59.0,15.8,224.3,102.0,10.09,10.0,1.0,2.7,6.0,True
VA,130.0,408.0,389-7012,no,no,0.0,211.2,119.0,35.9,231.1,120.0,19.64,220.9,80.0,9.94,6.3,9.0,1.7,2.0,False
ID,193.0,415.0,411-4714,no,no,0.0,96.8,92.0,16.46,142.6,103.0,12.12,210.1,115.0,9.45,10.9,5.0,2.94,2.0,True
TN,114.0,510.0,343-3846,no,no,0.0,172.0,145.0,29.24,276.4,101.0,23.49,193.7,100.0,8.72,10.1,9.0,2.73,1.0,False
AZ,137.0,415.0,370-4395,no,no,0.0,141.1,91.0,23.99,147.2,100.0,12.51,254.7,75.0,11.46,8.0,7.0,2.16,2.0,False
MT,185.0,408.0,422-4394,no,yes,29.0,151.1,121.0,25.69,244.7,88.0,20.8,154.4,91.0,6.95,13.8,2.0,3.73,2.0,False
OK,101.0,408.0,405-1780,no,no,0.0,209.6,107.0,35.63,228.8,96.0,19.45,172.4,85.0,7.76,7.6,2.0,2.05,3.0,False
ID,95.0,415.0,393-2220,no,yes,32.0,247.0,109.0,41.99,125.6,91.0,10.68,226.5,90.0,10.19,10.5,4.0,2.84,3.0,False
NV,7.0,408.0,355-8299,no,yes,30.0,221.4,114.0,37.64,165.8,116.0,14.09,247.0,105.0,11.12,10.8,12.0,2.92,1.0,False
KS,126.0,408.0,379-8681,no,no,0.0,321.3,99.0,54.62,167.9,93.0,14.27,193.6,106.0,8.71,8.0,4.0,2.16,1.0,True
WY,71.0,415.0,409-7034,no,no,0.0,243.7,124.0,41.43,60.0,90.0,5.1,189.0,129.0,8.5,11.3,2.0,3.05,0.0,False
MS,124.0,415.0,358-1922,no,no,0.0,251.5,85.0,42.76,214.2,98.0,18.21,186.1,71.0,8.37,11.1,6.0,3.0,3.0,False
WY,97.0,510.0,346-1629,yes,no,0.0,236.9,107.0,40.27,157.6,105.0,13.4,241.0,120.0,10.85,7.3,2.0,1.97,0.0,True
TX,28.0,415.0,347-1870,no,no,0.0,159.7,79.0,27.15,216.7,131.0,18.42,206.7,116.0,9.3,9.3,3.0,2.51,2.0,False
WA,90.0,415.0,374-9576,yes,no,0.0,148.2,96.0,25.19,220.4,111.0,18.73,134.2,97.0,6.04,9.2,1.0,2.48,4.0,True
HI,190.0,408.0,380-1096,no,no,0.0,150.9,86.0,25.65,268.6,129.0,22.83,179.9,73.0,8.1,14.7,1.0,3.97,1.0,False
IL,31.0,415.0,396-5790,no,yes,28.0,210.5,101.0,35.79,250.5,86.0,21.29,241.6,125.0,10.87,11.5,2.0,3.11,1.0,False
AK,52.0,415.0,356-5244,no,yes,24.0,170.9,71.0,29.05,201.4,80.0,17.12,159.0,124.0,7.15,4.1,5.0,1.11,2.0,False
MD,73.0,510.0,341-1412,no,no,0.0,254.7,80.0,43.3,90.2,79.0,7.67,153.4,60.0,6.9,10.6,8.0,2.86,0.0,False
MA,111.0,415.0,387-7371,no,no,0.0,284.4,89.0,48.35,157.0,113.0,13.35,242.8,91.0,10.93,8.4,8.0,2.27,0.0,True
SD,98.0,415.0,392-2555,no,no,0.0,0.0,0.0,0.0,159.6,130.0,13.57,167.1,88.0,7.52,6.8,1.0,1.84,4.0,True
PA,106.0,408.0,403-9167,yes,no,0.0,133.7,45.0,22.73,187.8,107.0,15.96,181.9,89.0,8.19,10.7,2.0,2.89,1.0,True
NC,111.0,408.0,338-6550,no,no,0.0,224.9,117.0,38.23,191.9,127.0,16.31,229.9,97.0,10.35,10.3,3.0,2.78,0.0,False
VT,59.0,408.0,357-5801,no,no,0.0,151.8,98.0,25.81,209.9,92.0,17.84,266.9,86.0,12.01,11.9,5.0,3.21,1.0,False
KY,71.0,510.0,403-1953,no,yes,22.0,141.4,107.0,24.04,163.0,105.0,13.86,220.0,99.0,9.9,5.6,3.0,1.51,2.0,False
WA,55.0,408.0,357-6039,no,no,0.0,285.7,124.0,48.57,230.9,106.0,19.63,230.7,140.0,10.38,14.8,7.0,4.0,0.0,True
LA,13.0,415.0,388-9653,no,no,0.0,58.4,121.0,9.93,262.2,64.0,22.29,159.0,115.0,7.15,11.9,5.0,3.21,1.0,False
WA,136.0,415.0,359-2915,no,yes,16.0,90.4,105.0,15.37,201.3,109.0,17.11,227.1,115.0,10.22,13.1,4.0,3.54,0.0,False
ME,123.0,408.0,381-4562,no,no,0.0,114.4,91.0,19.45,216.6,123.0,18.41,250.6,102.0,11.28,11.0,3.0,2.97,0.0,False
WI,105.0,408.0,406-2213,no,no,0.0,147.7,103.0,25.11,222.7,78.0,18.93,163.5,102.0,7.36,12.8,3.0,3.46,2.0,False
TX,50.0,408.0,330-6436,no,yes,31.0,302.7,93.0,51.46,240.5,119.0,20.44,193.9,103.0,8.73,13.6,14.0,3.67,3.0,False
IA,118.0,415.0,332-4289,no,no,0.0,136.1,120.0,23.14,204.2,103.0,17.36,228.2,90.0,10.27,11.3,4.0,3.05,1.0,False
AZ,97.0,408.0,386-3596,no,no,0.0,169.7,84.0,28.85,165.9,86.0,14.1,191.9,83.0,8.64,12.8,6.0,3.46,3.0,False
ND,51.0,510.0,337-3740,no,no,0.0,227.2,89.0,38.62,194.4,106.0,16.52,243.4,126.0,10.95,14.9,2.0,4.02,0.0,False
VT,73.0,415.0,414-1496,no,no,0.0,217.8,91.0,37.03,220.6,97.0,18.75,277.3,89.0,12.48,10.3,6.0,2.78,1.0,True
HI,35.0,415.0,349-7291,no,no,0.0,124.2,102.0,21.11,123.9,115.0,10.53,135.7,100.0,6.11,13.1,8.0,3.54,2.0,False
WY,64.0,415.0,385-1985,no,no,0.0,206.2,76.0,35.05,232.4,76.0,19.75,251.6,96.0,11.32,13.6,2.0,3.67,1.0,False
WV,63.0,510.0,329-7102,no,no,0.0,132.9,122.0,22.59,67.0,62.0,5.7,160.4,121.0,7.22,9.9,2.0,2.67,3.0,False
OK,117.0,415.0,394-2553,no,yes,31.0,104.9,115.0,17.83,237.6,125.0,20.2,263.4,104.0,11.85,7.7,6.0,2.08,3.0,False
CT,115.0,415.0,339-1330,no,no,0.0,245.0,97.0,41.65,250.7,75.0,21.31,270.2,124.0,12.16,13.7,8.0,3.7,1.0,True
UT,162.0,408.0,398-1959,no,no,0.0,184.5,118.0,31.37,224.0,95.0,19.04,180.5,82.0,8.12,11.6,3.0,3.13,1.0,False
NY,89.0,415.0,408-7015,no,no,0.0,89.5,66.0,15.22,179.3,104.0,15.24,225.1,116.0,10.13,12.3,1.0,3.32,3.0,False
VA,94.0,415.0,384-9254,yes,no,0.0,235.6,131.0,40.05,194.8,107.0,16.56,170.6,93.0,7.68,8.6,4.0,2.32,1.0,False
VT,129.0,408.0,355-9475,no,no,0.0,186.0,127.0,31.62,262.3,96.0,22.3,98.9,63.0,4.45,11.5,6.0,3.11,4.0,False
SD,86.0,415.0,334-1337,no,no,0.0,223.9,75.0,38.06,155.7,109.0,13.23,150.2,143.0,6.76,7.3,9.0,1.97,1.0,False
PA,96.0,510.0,359-1441,no,no,0.0,179.5,125.0,30.52,162.3,139.0,13.8,264.5,133.0,11.9,6.6,2.0,1.78,1.0,False
ND,190.0,415.0,391-5442,no,no,0.0,169.4,102.0,28.8,253.5,113.0,21.55,197.1,93.0,8.87,8.9,5.0,2.4,1.0,False
CT,80.0,408.0,374-1551,no,no,0.0,118.1,90.0,20.08,144.3,77.0,12.27,225.1,86.0,10.13,8.2,6.0,2.21,1.0,False
SC,108.0,415.0,399-6233,no,no,0.0,112.0,105.0,19.04,193.7,110.0,16.46,208.9,93.0,9.4,4.1,4.0,1.11,4.0,True
MI,97.0,408.0,337-4749,no,yes,32.0,168.4,129.0,28.63,225.9,97.0,19.2,191.8,95.0,8.63,8.5,7.0,2.3,0.0,False
VT,84.0,415.0,403-5552,no,yes,42.0,214.3,112.0,36.43,188.2,107.0,16.0,333.5,117.0,15.01,11.3,10.0,3.05,0.0,False
OH,65.0,415.0,405-3097,no,no,0.0,245.7,139.0,41.77,241.9,113.0,20.56,285.3,117.0,12.84,4.2,5.0,1.13,4.0,True
VT,131.0,415.0,364-9240,no,yes,34.0,156.6,134.0,26.62,71.0,95.0,6.04,261.7,120.0,11.78,13.4,10.0,3.62,1.0,False
IL,58.0,415.0,404-9348,yes,yes,43.0,142.8,96.0,24.28,272.3,100.0,23.15,193.4,105.0,8.7,8.9,4.0,2.4,1.0,False
MO,36.0,415.0,336-1462,no,no,0.0,202.4,115.0,34.41,230.7,115.0,19.61,202.0,127.0,9.09,10.2,2.0,2.75,3.0,False
WI,54.0,415.0,364-8981,no,no,0.0,116.8,119.0,19.86,123.1,123.0,10.46,217.5,101.0,9.79,12.0,2.0,3.24,1.0,False
NJ,45.0,510.0,412-7606,no,no,0.0,155.7,110.0,26.47,260.3,103.0,22.13,192.2,98.0,8.65,11.0,1.0,2.97,1.0,False
GA,125.0,415.0,380-6342,no,yes,39.0,236.1,107.0,40.14,289.2,110.0,24.58,175.4,107.0,7.89,9.1,4.0,2.46,2.0,False
VT,72.0,415.0,418-3017,no,yes,21.0,138.1,113.0,23.48,260.1,83.0,22.11,135.4,118.0,6.09,8.2,2.0,2.21,2.0,False
CT,141.0,408.0,367-3648,no,no,0.0,51.9,108.0,8.82,162.0,83.0,13.77,223.5,115.0,10.06,10.1,3.0,2.73,3.0,False
AZ,113.0,510.0,341-5892,no,no,0.0,81.3,116.0,13.82,220.6,124.0,18.75,235.7,113.0,10.61,8.9,3.0,2.4,0.0,False
SD,20.0,415.0,334-4678,no,yes,35.0,171.5,98.0,29.16,153.1,127.0,13.01,165.6,125.0,7.45,7.1,3.0,1.92,0.0,False
CT,212.0,415.0,366-6751,no,no,0.0,126.0,96.0,21.42,144.3,80.0,12.27,302.8,102.0,13.63,7.6,3.0,2.05,1.0,False
IN,99.0,415.0,397-8512,yes,no,0.0,197.2,127.0,33.52,156.0,92.0,13.26,204.1,99.0,9.18,9.9,6.0,2.67,4.0,False
OH,94.0,510.0,367-9495,no,no,0.0,194.1,62.0,33.0,227.2,54.0,19.31,190.4,115.0,8.57,15.3,4.0,4.13,1.0,False
NY,40.0,510.0,379-2991,no,no,0.0,115.7,105.0,19.67,127.8,113.0,10.86,107.5,91.0,4.84,9.3,6.0,2.51,1.0,False
NE,86.0,510.0,356-4832,no,yes,29.0,157.2,118.0,26.72,196.3,136.0,16.69,226.7,109.0,10.2,8.4,5.0,2.27,3.0,False
OK,101.0,415.0,413-4040,no,no,0.0,269.7,85.0,45.85,207.6,86.0,17.65,214.2,107.0,9.64,4.5,15.0,1.22,3.0,True
NC,170.0,415.0,366-4444,no,no,0.0,246.4,107.0,41.89,228.1,124.0,19.39,166.4,95.0,7.49,9.1,8.0,2.46,0.0,False
HI,105.0,510.0,394-3806,no,no,0.0,227.4,121.0,38.66,268.5,89.0,22.82,143.3,82.0,6.45,13.0,4.0,3.51,1.0,False
UT,103.0,415.0,368-5647,no,no,0.0,189.8,110.0,32.27,115.5,83.0,9.82,191.3,103.0,8.61,12.2,4.0,3.29,0.0,False
MD,140.0,415.0,412-1076,yes,yes,27.0,188.9,124.0,32.11,160.9,102.0,13.68,197.7,100.0,8.9,11.5,5.0,3.11,4.0,False
VT,101.0,510.0,413-7655,no,no,0.0,0.0,0.0,0.0,192.1,119.0,16.33,168.8,95.0,7.6,7.2,4.0,1.94,1.0,False
TX,98.0,408.0,371-2316,no,yes,19.0,110.5,87.0,18.79,227.8,97.0,19.36,243.6,84.0,10.96,11.0,4.0,2.97,1.0,False
AZ,104.0,408.0,420-3346,no,no,0.0,167.6,116.0,28.49,219.2,112.0,18.63,215.9,94.0,9.72,11.7,2.0,3.16,4.0,False
VA,115.0,415.0,367-3971,no,no,0.0,132.0,90.0,22.44,197.5,75.0,16.79,175.8,114.0,7.91,0.0,0.0,0.0,3.0,False
WI,112.0,408.0,417-5813,no,no,0.0,167.8,88.0,28.53,247.9,81.0,21.07,155.1,108.0,6.98,11.9,4.0,3.21,0.0,False
NE,70.0,415.0,421-8535,no,no,0.0,213.4,86.0,36.28,204.7,77.0,17.4,256.6,101.0,11.55,5.7,4.0,1.54,1.0,False
KY,126.0,510.0,375-1721,no,no,0.0,175.4,120.0,29.82,98.3,71.0,8.36,201.9,93.0,9.09,10.6,1.0,2.86,0.0,False
NV,87.0,510.0,331-8484,no,yes,39.0,82.6,113.0,14.04,224.4,63.0,19.07,163.6,88.0,7.36,9.5,1.0,2.57,3.0,False
MT,125.0,510.0,366-5829,no,no,0.0,143.2,80.0,24.34,88.1,94.0,7.49,233.2,135.0,10.49,8.8,7.0,2.38,4.0,True
MO,86.0,415.0,367-7906,no,no,0.0,125.5,139.0,21.34,269.8,93.0,22.93,235.8,110.0,10.61,8.9,8.0,2.4,1.0,False
MS,73.0,415.0,412-2520,no,yes,31.0,82.3,105.0,13.99,256.1,91.0,21.77,229.6,98.0,10.33,11.8,2.0,3.19,6.0,True
NM,232.0,408.0,386-9177,no,no,0.0,165.6,104.0,28.15,195.9,115.0,16.65,118.3,77.0,5.32,11.8,3.0,3.19,1.0,False
NJ,1.0,415.0,420-6780,no,yes,30.0,183.1,95.0,31.13,232.6,110.0,19.77,248.3,110.0,11.17,8.4,2.0,2.27,0.0,False
NH,133.0,408.0,401-1454,no,no,0.0,162.1,91.0,27.56,212.1,94.0,18.03,260.4,78.0,11.72,12.2,5.0,3.29,1.0,False
NC,103.0,510.0,379-2508,no,no,0.0,166.6,84.0,28.32,192.4,91.0,16.35,167.9,115.0,7.56,7.7,6.0,2.08,1.0,False
MT,131.0,415.0,353-3492,no,yes,24.0,135.9,60.0,23.1,233.2,78.0,19.82,210.6,121.0,9.48,9.4,4.0,2.54,1.0,False
SD,95.0,408.0,406-4840,no,yes,20.0,165.7,78.0,28.17,215.6,94.0,18.33,243.3,91.0,10.95,9.8,6.0,2.65,0.0,False
VA,182.0,415.0,391-7982,no,no,0.0,176.1,90.0,29.94,174.9,106.0,14.87,234.7,134.0,10.56,9.7,4.0,2.62,1.0,False
LA,99.0,510.0,379-9821,no,no,0.0,142.3,89.0,24.19,204.5,95.0,17.38,203.1,114.0,9.14,9.1,1.0,2.46,0.0,False
NV,27.0,510.0,398-7414,no,no,0.0,177.6,121.0,30.19,296.8,92.0,25.23,192.9,106.0,8.68,7.6,3.0,2.05,3.0,False
AK,141.0,408.0,338-8566,no,no,0.0,83.2,74.0,14.14,190.6,104.0,16.2,150.5,79.0,6.77,10.7,7.0,2.89,1.0,False
OH,29.0,415.0,397-3058,yes,yes,37.0,235.0,101.0,39.95,183.3,79.0,15.58,139.8,106.0,6.29,5.7,7.0,1.54,2.0,False
NM,65.0,415.0,389-8096,no,no,0.0,105.7,95.0,17.97,141.8,100.0,12.05,180.5,105.0,8.12,6.6,12.0,1.78,2.0,False
MI,81.0,415.0,393-6840,yes,no,0.0,149.4,68.0,25.4,171.9,98.0,14.61,214.5,97.0,9.65,17.9,3.0,4.83,3.0,True
MN,37.0,415.0,360-7404,no,yes,20.0,264.7,81.0,45.0,216.5,110.0,18.4,210.7,102.0,9.48,10.4,7.0,2.81,0.0,False
WY,107.0,510.0,411-5740,no,yes,31.0,160.3,45.0,27.25,221.5,70.0,18.83,261.6,109.0,11.77,5.6,1.0,1.51,1.0,False
WY,127.0,415.0,412-3726,yes,yes,28.0,95.9,117.0,16.3,159.5,131.0,13.56,152.8,132.0,6.88,10.4,3.0,2.81,1.0,False
WA,78.0,408.0,372-7326,no,no,0.0,140.7,77.0,23.92,195.2,114.0,16.59,252.9,107.0,11.38,11.7,5.0,3.16,0.0,False
NM,55.0,510.0,338-9873,no,no,0.0,119.7,148.0,20.35,231.8,96.0,19.7,222.3,113.0,10.0,4.6,2.0,1.24,2.0,False
VA,86.0,415.0,383-4322,no,yes,30.0,99.9,84.0,16.98,263.5,125.0,22.4,254.7,90.0,11.46,9.8,7.0,2.65,2.0,False
RI,176.0,415.0,401-7654,no,no,0.0,250.9,108.0,42.65,171.4,100.0,14.57,148.6,85.0,6.69,9.6,6.0,2.59,2.0,False
AL,96.0,415.0,410-5455,yes,no,0.0,200.6,117.0,34.1,289.5,120.0,24.61,98.3,95.0,4.42,11.2,5.0,3.02,2.0,False
WV,11.0,510.0,419-4310,no,yes,38.0,209.8,130.0,35.67,196.6,84.0,16.71,233.0,79.0,10.49,7.0,7.0,1.89,1.0,False
WV,48.0,415.0,367-2056,no,yes,34.0,198.0,70.0,33.66,273.7,121.0,23.26,217.9,71.0,9.81,7.6,4.0,2.05,1.0,False
NJ,127.0,510.0,363-6695,no,no,0.0,239.8,107.0,40.77,128.9,121.0,10.96,249.9,110.0,11.25,11.3,5.0,3.05,1.0,False
TN,63.0,415.0,374-6217,no,no,0.0,164.5,75.0,27.97,147.9,118.0,12.57,252.7,97.0,11.37,11.2,2.0,3.02,0.0,False
MI,79.0,510.0,337-9569,no,no,0.0,220.9,107.0,37.55,192.2,97.0,16.34,161.0,74.0,7.25,12.2,2.0,3.29,1.0,False
UT,47.0,408.0,350-9720,no,yes,37.0,112.8,150.0,19.18,243.9,97.0,20.73,178.7,112.0,8.04,13.2,6.0,3.56,2.0,False
IL,89.0,415.0,380-4080,yes,yes,19.0,112.6,114.0,19.14,261.7,132.0,22.24,123.5,116.0,5.56,11.1,2.0,3.0,0.0,True
MI,83.0,510.0,333-7460,no,yes,26.0,226.4,117.0,38.49,234.7,97.0,19.95,133.6,82.0,6.01,10.8,7.0,2.92,1.0,False
